"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"14/01/2022","3.936,5","3.884,0","3.936,5","3.871,0","2,04M","0,86%"
"13/01/2022","3.903,0","3.893,0","3.913,2","3.872,5","1,92M","0,03%"
"12/01/2022","3.902,0","3.958,0","3.958,5","3.891,0","2,49M","-1,01%"
"11/01/2022","3.942,0","3.941,5","3.966,0","3.907,5","2,35M","-0,62%"
"10/01/2022","3.966,5","3.950,0","3.976,0","3.916,0","3,84M","0,81%"
"07/01/2022","3.934,5","3.900,0","3.934,5","3.897,5","2,56M","0,43%"
"06/01/2022","3.917,5","3.927,5","3.946,9","3.903,9","2,58M","-1,05%"
"05/01/2022","3.959,0","3.979,0","3.985,0","3.942,0","1,75M","-0,93%"
"04/01/2022","3.996,0","3.957,5","3.998,0","3.951,0","3,17M","1,28%"
"31/12/2021","3.945,5","3.946,5","3.960,5","3.922,5","937,48K","-0,53%"
"30/12/2021","3.966,5","3.982,0","3.982,0","3.961,0","1,14M","-0,11%"
"29/12/2021","3.971,0","3.982,0","4.004,2","3.963,5","1,74M","0,47%"
"24/12/2021","3.952,5","3.948,5","3.965,0","3.947,0","346,95K","-0,01%"
"23/12/2021","3.953,0","3.916,0","3.953,5","3.909,5","2,59M","0,69%"
"22/12/2021","3.926,0","3.935,5","3.939,3","3.889,5","1,96M","-0,37%"
"21/12/2021","3.940,5","3.987,5","3.992,0","3.925,0","2,23M","-1,03%"
"20/12/2021","3.981,5","3.958,5","3.989,5","3.932,5","3,74M","-0,01%"
"17/12/2021","3.982,0","3.995,0","4.011,5","3.965,5","9,26M","-0,01%"
"16/12/2021","3.982,5","3.983,0","4.000,0","3.949,5","4,34M","0,33%"
"15/12/2021","3.969,5","4.010,5","4.023,5","3.958,5","2,75M","-1,29%"
"14/12/2021","4.021,5","4.028,4","4.051,5","4.004,5","2,74M","0,00%"
"13/12/2021","4.021,5","4.010,5","4.021,5","3.985,5","3,87M","0,15%"
"10/12/2021","4.015,5","3.989,0","4.027,0","3.980,0","1,99M","0,84%"
"09/12/2021","3.982,0","3.995,5","3.995,5","3.961,5","2,80M","0,72%"
"08/12/2021","3.953,5","3.958,0","3.996,5","3.951,5","3,80M","0,01%"
"07/12/2021","3.953,0","3.960,0","3.968,5","3.919,5","3,58M","0,66%"
"06/12/2021","3.927,0","3.909,5","3.934,0","3.878,0","2,90M","1,24%"
"03/12/2021","3.879,0","3.883,0","3.895,0","3.864,0","3,20M","0,18%"
"02/12/2021","3.872,0","3.832,0","3.905,0","3.828,0","3,92M","0,45%"
"01/12/2021","3.854,5","3.839,0","3.873,0","3.810,0","4,88M","-0,12%"
"30/11/2021","3.859,0","3.919,5","3.928,0","3.859,0","9,00M","-1,58%"
"29/11/2021","3.921,0","3.931,5","3.951,0","3.898,4","4,54M","-0,77%"
"26/11/2021","3.951,5","3.918,0","3.964,0","3.888,5","5,20M","-0,57%"
"25/11/2021","3.974,0","3.910,0","3.984,0","3.901,5","3,73M","1,68%"
"24/11/2021","3.908,5","3.904,0","3.914,5","3.877,0","4,62M","0,15%"
"23/11/2021","3.902,5","3.843,0","3.907,0","3.842,3","2,87M","1,15%"
"22/11/2021","3.858,0","3.831,5","3.877,5","3.827,5","2,51M","0,23%"
"19/11/2021","3.849,0","3.801,0","3.874,5","3.792,0","3,95M","0,68%"
"18/11/2021","3.823,0","3.850,5","3.867,0","3.823,0","2,70M","-0,84%"
"17/11/2021","3.855,5","3.857,5","3.872,1","3.824,8","3,49M","-0,49%"
"16/11/2021","3.874,5","3.886,5","3.903,3","3.852,0","3,00M","-0,84%"
"15/11/2021","3.907,5","3.915,0","3.920,5","3.850,3","2,18M","-0,20%"
"12/11/2021","3.915,5","3.900,0","3.936,0","3.898,5","2,73M","-0,09%"
"11/11/2021","3.919,0","3.927,5","3.947,0","3.905,5","2,74M","0,03%"
"10/11/2021","3.918,0","3.912,5","3.923,0","3.885,0","2,41M","0,27%"
"09/11/2021","3.907,5","3.881,5","3.914,0","3.851,7","2,67M","0,71%"
"08/11/2021","3.880,0","3.909,0","3.909,0","3.862,5","2,52M","-0,51%"
"05/11/2021","3.900,0","3.901,5","3.932,0","3.894,2","4,03M","0,00%"
"04/11/2021","3.900,0","3.912,5","3.946,5","3.880,5","5,97M","-1,13%"
"03/11/2021","3.944,5","3.944,0","3.960,5","3.928,0","1,95M","-0,37%"
"02/11/2021","3.959,0","3.935,0","3.967,0","3.907,5","1,81M","0,75%"
"01/11/2021","3.929,5","3.945,0","3.950,0","3.899,5","2,09M","0,45%"
"29/10/2021","3.912,0","3.889,5","3.915,5","3.858,0","3,24M","0,31%"
"28/10/2021","3.900,0","3.884,0","3.911,0","3.877,0","2,16M","0,18%"
"27/10/2021","3.893,0","3.921,0","3.937,3","3.892,0","2,21M","-0,64%"
"26/10/2021","3.918,0","3.903,5","3.924,0","3.886,5","1,92M","0,99%"
"25/10/2021","3.879,5","3.900,0","3.928,0","3.871,0","2,20M","-0,35%"
"22/10/2021","3.893,0","3.880,5","3.915,3","3.867,5","1,82M","0,76%"
"21/10/2021","3.863,5","3.870,0","3.948,5","3.831,5","3,72M","1,17%"
"20/10/2021","3.819,0","3.816,5","3.846,5","3.806,0","2,47M","0,84%"
"19/10/2021","3.787,0","3.840,0","3.840,5","3.780,0","3,13M","-1,34%"
"18/10/2021","3.838,5","3.833,0","3.856,8","3.822,0","2,21M","-0,39%"
"15/10/2021","3.853,5","3.875,0","3.879,0","3.807,8","3,35M","-0,68%"
"14/10/2021","3.880,0","3.880,5","3.883,0","3.852,5","2,14M","0,38%"
"13/10/2021","3.865,5","3.833,5","3.882,0","3.816,0","3,85M","0,36%"
"12/10/2021","3.851,5","3.847,0","3.863,3","3.828,5","1,95M","-0,35%"
"11/10/2021","3.865,0","3.851,0","3.873,5","3.831,3","1,91M","-0,04%"
"08/10/2021","3.866,5","3.875,0","3.889,5","3.842,5","2,49M","-0,19%"
"07/10/2021","3.874,0","3.896,0","3.925,0","3.874,0","2,34M","-0,10%"
"06/10/2021","3.878,0","3.891,5","3.900,0","3.836,5","3,07M","-1,03%"
"05/10/2021","3.918,5","3.950,0","3.961,0","3.916,8","2,79M","-0,76%"
"04/10/2021","3.948,5","3.972,0","3.977,0","3.917,5","2,84M","-0,62%"
"01/10/2021","3.973,0","3.994,0","4.048,5","3.971,5","2,70M","-0,80%"
"30/09/2021","4.005,0","4.078,0","4.081,5","4.004,5","3,30M","-1,44%"
"29/09/2021","4.063,5","4.042,0","4.074,5","4.027,1","2,98M","1,27%"
"28/09/2021","4.012,5","3.957,5","4.042,5","3.948,5","3,08M","1,20%"
"27/09/2021","3.965,0","4.005,0","4.008,0","3.956,6","2,36M","-0,63%"
"24/09/2021","3.990,0","3.988,5","4.009,5","3.977,0","2,09M","-0,03%"
"23/09/2021","3.991,0","4.026,0","4.028,5","3.991,0","1,73M","-0,71%"
"22/09/2021","4.019,5","4.008,0","4.048,5","4.002,5","2,17M","0,16%"
"21/09/2021","4.013,0","3.988,0","4.035,0","3.969,5","2,24M","0,63%"
"20/09/2021","3.988,0","3.925,0","3.997,0","3.916,5","4,98M","1,79%"
"17/09/2021","3.918,0","3.970,5","3.976,5","3.915,0","7,19M","-0,71%"
"16/09/2021","3.946,0","3.935,0","3.971,7","3.926,3","2,97M","-0,58%"
"15/09/2021","3.969,0","4.001,5","4.014,5","3.969,0","3,14M","-0,96%"
"14/09/2021","4.007,5","3.999,0","4.045,5","3.990,0","2,38M","0,24%"
"13/09/2021","3.998,0","3.961,5","4.010,7","3.960,0","2,01M","0,99%"
"10/09/2021","3.959,0","3.964,0","3.978,3","3.942,5","2,06M","-0,16%"
"09/09/2021","3.965,5","4.007,5","4.029,5","3.965,5","2,20M","-1,42%"
"08/09/2021","4.022,5","3.977,5","4.032,0","3.940,0","3,30M","0,84%"
"07/09/2021","3.989,0","4.001,0","4.005,5","3.978,9","2,01M","-0,32%"
"06/09/2021","4.002,0","3.993,0","4.009,5","3.967,5","1,47M","0,60%"
"03/09/2021","3.978,0","3.969,0","4.018,5","3.952,5","2,74M","0,43%"
"02/09/2021","3.961,0","4.011,5","4.012,5","3.924,5","3,75M","-2,05%"
"01/09/2021","4.044,0","4.047,5","4.070,5","4.030,5","2,27M","-0,05%"
"31/08/2021","4.046,0","4.054,5","4.066,0","4.017,0","3,53M","0,02%"
"27/08/2021","4.045,0","4.069,0","4.071,5","4.045,0","1,73M","-0,43%"
"26/08/2021","4.062,5","4.023,0","4.072,0","4.008,5","1,80M","0,56%"
