NO;Nilai;Kurs Jual;Kurs Beli;Tanggal
1;1;14340;14198;12/31/2021 12:00:00 AM
2;1;14336;14194;12/30/2021 12:00:00 AM
3;1;14308;14166;12/29/2021 12:00:00 AM
4;1;14296;14154;12/28/2021 12:00:00 AM
5;1;14290;14148;12/27/2021 12:00:00 AM
6;1;14322;14180;12/24/2021 12:00:00 AM
7;1;14335;14193;12/23/2021 12:00:00 AM
8;1;14421;14277;12/22/2021 12:00:00 AM
9;1;14456;14312;12/21/2021 12:00:00 AM
10;1;14415;14271;12/20/2021 12:00:00 AM
11;1;14415;14271;12/17/2021 12:00:00 AM
12;1;14409;14265;12/16/2021 12:00:00 AM
13;1;14420;14276;12/15/2021 12:00:00 AM
14;1;14418;14274;12/14/2021 12:00:00 AM
15;1;14450;14306;12/13/2021 12:00:00 AM
16;1;14423;14279;12/10/2021 12:00:00 AM
17;1;14420;14276;12/9/2021 12:00:00 AM
18;1;14480;14336;12/8/2021 12:00:00 AM
19;1;14513;14369;12/7/2021 12:00:00 AM
20;1;14480;14336;12/6/2021 12:00:00 AM
21;1;14450;14306;12/3/2021 12:00:00 AM
22;1;14425;14281;12/2/2021 12:00:00 AM
23;1;14392;14248;12/1/2021 12:00:00 AM
24;1;14412;14268;11/30/2021 12:00:00 AM
25;1;14351;14209;11/29/2021 12:00:00 AM
26;1;14351;14209;11/26/2021 12:00:00 AM
27;1;14343;14201;11/25/2021 12:00:00 AM
28;1;14343;14201;11/24/2021 12:00:00 AM
29;1;14326;14184;11/23/2021 12:00:00 AM
30;1;14308;14166;11/22/2021 12:00:00 AM
31;1;14302;14160;11/19/2021 12:00:00 AM
32;1;14330;14188;11/18/2021 12:00:00 AM
33;1;14282;14140;11/17/2021 12:00:00 AM
34;1;14277;14135;11/16/2021 12:00:00 AM
35;1;14314;14172;11/15/2021 12:00:00 AM
36;1;14359;14217;11/12/2021 12:00:00 AM
37;1;14324;14182;11/11/2021 12:00:00 AM
38;1;14304;14162;11/10/2021 12:00:00 AM
39;1;14339;14197;11/9/2021 12:00:00 AM
40;1;14446;14302;11/8/2021 12:00:00 AM
41;1;14399;14255;11/5/2021 12:00:00 AM
42;1;14373;14230;11/4/2021 12:00:00 AM
43;1;14332;14190;11/3/2021 12:00:00 AM
44;1;14306;14164;11/2/2021 12:00:00 AM
45;1;14242;14100;11/1/2021 12:00:00 AM
46;1;14270;14128;10/29/2021 12:00:00 AM
47;1;14255;14113;10/28/2021 12:00:00 AM
48;1;14236;14094;10/27/2021 12:00:00 AM
49;1;14254;14112;10/26/2021 12:00:00 AM
50;1;14233;14091;10/25/2021 12:00:00 AM
51;1;14204;14062;10/22/2021 12:00:00 AM
52;1;14150;14010;10/21/2021 12:00:00 AM
53;1;14166;14026;10/19/2021 12:00:00 AM
54;1;14154;14014;10/18/2021 12:00:00 AM
55;1;14226;14084;10/15/2021 12:00:00 AM
56;1;14292;14150;10/14/2021 12:00:00 AM
57;1;14288;14146;10/13/2021 12:00:00 AM
58;1;14281;14139;10/12/2021 12:00:00 AM
59;1;14296;14154;10/11/2021 12:00:00 AM
60;1;14309;14167;10/8/2021 12:00:00 AM
61;1;14316;14174;10/7/2021 12:00:00 AM
62;1;14331;14189;10/6/2021 12:00:00 AM
63;1;14347;14205;10/5/2021 12:00:00 AM
64;1;14387;14243;10/4/2021 12:00:00 AM
65;1;14393;14249;10/1/2021 12:00:00 AM
66;1;14379;14235;9/30/2021 12:00:00 AM
67;1;14340;14198;9/29/2021 12:00:00 AM
68;1;14329;14187;9/28/2021 12:00:00 AM
69;1;14321;14179;9/27/2021 12:00:00 AM
70;1;14327;14185;9/24/2021 12:00:00 AM
71;1;14320;14178;9/23/2021 12:00:00 AM
72;1;14315;14173;9/22/2021 12:00:00 AM
73;1;14322;14180;9/21/2021 12:00:00 AM
74;1;14304;14162;9/20/2021 12:00:00 AM
75;1;14309;14167;9/17/2021 12:00:00 AM
76;1;14323;14181;9/16/2021 12:00:00 AM
77;1;14328;14186;9/15/2021 12:00:00 AM
78;1;14331;14189;9/14/2021 12:00:00 AM
79;1;14296;14154;9/13/2021 12:00:00 AM
80;1;14343;14201;9/10/2021 12:00:00 AM
81;1;14337;14195;9/9/2021 12:00:00 AM
82;1;14266;14124;9/8/2021 12:00:00 AM
83;1;14310;14168;9/7/2021 12:00:00 AM
84;1;14332;14190;9/6/2021 12:00:00 AM
85;1;14352;14210;9/3/2021 12:00:00 AM
86;1;14355;14213;9/2/2021 12:00:00 AM
87;1;14378;14234;9/1/2021 12:00:00 AM
88;1;14446;14302;8/31/2021 12:00:00 AM
89;1;14503;14359;8/30/2021 12:00:00 AM
90;1;14495;14351;8/27/2021 12:00:00 AM
91;1;14480;14336;8/26/2021 12:00:00 AM
92;1;14463;14319;8/25/2021 12:00:00 AM
93;1;14487;14343;8/24/2021 12:00:00 AM
94;1;14536;14392;8/23/2021 12:00:00 AM
95;1;14486;14342;8/20/2021 12:00:00 AM
96;1;14456;14312;8/19/2021 12:00:00 AM
97;1;14455;14311;8/18/2021 12:00:00 AM
98;1;14460;14316;8/16/2021 12:00:00 AM
99;1;14461;14317;8/13/2021 12:00:00 AM
100;1;14469;14325;8/12/2021 12:00:00 AM
101;1;14450;14306;8/10/2021 12:00:00 AM
102;1;14441;14297;8/9/2021 12:00:00 AM
103;1;14414;14270;8/6/2021 12:00:00 AM
104;1;14396;14252;8/5/2021 12:00:00 AM
105;1;14434;14290;8/4/2021 12:00:00 AM
106;1;14528;14384;8/3/2021 12:00:00 AM
107;1;14534;14390;8/2/2021 12:00:00 AM
108;1;14563;14419;7/30/2021 12:00:00 AM
109;1;14570;14426;7/29/2021 12:00:00 AM
110;1;14561;14417;7/28/2021 12:00:00 AM
111;1;14566;14422;7/27/2021 12:00:00 AM
112;1;14574;14429;7/26/2021 12:00:00 AM
113;1;14581;14435;7/23/2021 12:00:00 AM
114;1;14627;14481;7/22/2021 12:00:00 AM
115;1;14597;14451;7/21/2021 12:00:00 AM
116;1;14590;14444;7/19/2021 12:00:00 AM
117;1;14576;14430;7/16/2021 12:00:00 AM
118;1;14565;14421;7/15/2021 12:00:00 AM
119;1;14558;14414;7/14/2021 12:00:00 AM
120;1;14558;14414;7/13/2021 12:00:00 AM
121;1;14621;14475;7/12/2021 12:00:00 AM
122;1;14621;14475;7/9/2021 12:00:00 AM
123;1;14573;14428;7/8/2021 12:00:00 AM
124;1;14540;14396;7/7/2021 12:00:00 AM
125;1;14554;14410;7/6/2021 12:00:00 AM
126;1;14637;14491;7/5/2021 12:00:00 AM
127;1;14612;14466;7/2/2021 12:00:00 AM
128;1;14615;14469;7/1/2021 12:00:00 AM
129;1;14568;14424;6/30/2021 12:00:00 AM
130;1;14544;14400;6/29/2021 12:00:00 AM
131;1;14519;14375;6/28/2021 12:00:00 AM
132;1;14534;14390;6/25/2021 12:00:00 AM
133;1;14526;14382;6/24/2021 12:00:00 AM
134;1;14493;14349;6/23/2021 12:00:00 AM
135;1;14525;14381;6/22/2021 12:00:00 AM
136;1;14475;14331;6/21/2021 12:00:00 AM
137;1;14450;14306;6/18/2021 12:00:00 AM
138;1;14328;14186;6/17/2021 12:00:00 AM
139;1;14315;14173;6/16/2021 12:00:00 AM
140;1;14293;14151;6/15/2021 12:00:00 AM
141;1;14277;14135;6/14/2021 12:00:00 AM
142;1;14311;14169;6/11/2021 12:00:00 AM
143;1;14333;14191;6/10/2021 12:00:00 AM
144;1;14333;14191;6/9/2021 12:00:00 AM
145;1;14342;14200;6/8/2021 12:00:00 AM
146;1;14388;14244;6/7/2021 12:00:00 AM
147;1;14368;14226;6/4/2021 12:00:00 AM
148;1;14347;14205;6/3/2021 12:00:00 AM
149;1;14363;14221;6/2/2021 12:00:00 AM
150;1;14382;14238;6/1/2021 12:00:00 AM
151;1;14382;14238;5/31/2021 12:00:00 AM
152;1;14384;14240;5/28/2021 12:00:00 AM
153;1;14407;14263;5/27/2021 12:00:00 AM
154;1;14434;14290;5/26/2021 12:00:00 AM
155;1;14434;14290;5/25/2021 12:00:00 AM
156;1;14447;14303;5/24/2021 12:00:00 AM
157;1;14468;14324;5/21/2021 12:00:00 AM
158;1;14385;14241;5/20/2021 12:00:00 AM
159;1;14372;14229;5/19/2021 12:00:00 AM
160;1;14355;14213;5/18/2021 12:00:00 AM
161;1;14274;14132;5/17/2021 12:00:00 AM
162;1;14269;14127;5/14/2021 12:00:00 AM
163;1;14269;14127;5/13/2021 12:00:00 AM
164;1;14269;14127;5/12/2021 12:00:00 AM
165;1;14269;14127;5/11/2021 12:00:00 AM
166;1;14360;14218;5/10/2021 12:00:00 AM
167;1;14436;14292;5/7/2021 12:00:00 AM
168;1;14511;14367;5/6/2021 12:00:00 AM
169;1;14503;14359;5/5/2021 12:00:00 AM
170;1;14539;14395;5/4/2021 12:00:00 AM
171;1;14525;14381;5/3/2021 12:00:00 AM
172;1;14540;14396;4/30/2021 12:00:00 AM
173;1;14583;14437;4/29/2021 12:00:00 AM
174;1;14569;14425;4/28/2021 12:00:00 AM
175;1;14561;14417;4/27/2021 12:00:00 AM
176;1;14621;14475;4/26/2021 12:00:00 AM
