NO;Nilai;Kurs Jual;Kurs Beli;Tanggal
1;1;14340,35;14197,66;12/31/2021 12:00:00 AM
2;1;14336,33;14193,68;12/30/2021 12:00:00 AM
3;1;14308,19;14165,82;12/29/2021 12:00:00 AM
4;1;14296,13;14153,88;12/28/2021 12:00:00 AM
5;1;14290,1;14147,91;12/27/2021 12:00:00 AM
6;1;14322,26;14179,75;12/24/2021 12:00:00 AM
7;1;14335,32;14192,68;12/23/2021 12:00:00 AM
8;1;14420,75;14277,26;12/22/2021 12:00:00 AM
9;1;14455,92;14312,08;12/21/2021 12:00:00 AM
10;1;14414,72;14271,29;12/20/2021 12:00:00 AM
11;1;14414,72;14271,29;12/17/2021 12:00:00 AM
12;1;14408,69;14265,32;12/16/2021 12:00:00 AM
13;1;14419,74;14276,26;12/15/2021 12:00:00 AM
14;1;14417,73;14274,27;12/14/2021 12:00:00 AM
15;1;14449,89;14306,11;12/13/2021 12:00:00 AM
16;1;14422,76;14279,25;12/10/2021 12:00:00 AM
17;1;14419,74;14276,26;12/9/2021 12:00:00 AM
18;1;14480,04;14335,96;12/8/2021 12:00:00 AM
19;1;14513,21;14368,8;12/7/2021 12:00:00 AM
20;1;14480,04;14335,96;12/6/2021 12:00:00 AM
21;1;14449,89;14306,11;12/3/2021 12:00:00 AM
22;1;14424,77;14281,24;12/2/2021 12:00:00 AM
23;1;14391,6;14248,4;12/1/2021 12:00:00 AM
24;1;14411,7;14268,3;11/30/2021 12:00:00 AM
25;1;14351,4;14208,6;11/29/2021 12:00:00 AM
26;1;14351,4;14208,6;11/26/2021 12:00:00 AM
27;1;14343,36;14200,64;11/25/2021 12:00:00 AM
28;1;14343,36;14200,64;11/24/2021 12:00:00 AM
29;1;14326,28;14183,73;11/23/2021 12:00:00 AM
30;1;14308,19;14165,82;11/22/2021 12:00:00 AM
31;1;14302,16;14159,85;11/19/2021 12:00:00 AM
32;1;14330,3;14187,71;11/18/2021 12:00:00 AM
33;1;14282,06;14139,95;11/17/2021 12:00:00 AM
34;1;14277,03;14134,97;11/16/2021 12:00:00 AM
35;1;14314,22;14171,79;11/15/2021 12:00:00 AM
36;1;14359,44;14216,56;11/12/2021 12:00:00 AM
37;1;14324,27;14181,74;11/11/2021 12:00:00 AM
38;1;14304,17;14161,84;11/10/2021 12:00:00 AM
39;1;14339,34;14196,66;11/9/2021 12:00:00 AM
40;1;14445,87;14302,13;11/8/2021 12:00:00 AM
41;1;14398,64;14255,37;11/5/2021 12:00:00 AM
42;1;14372,51;14229,5;11/4/2021 12:00:00 AM
43;1;14332,31;14189,7;11/3/2021 12:00:00 AM
44;1;14306,18;14163,83;11/2/2021 12:00:00 AM
45;1;14241,86;14100,15;11/1/2021 12:00:00 AM
46;1;14270;14128,01;10/29/2021 12:00:00 AM
47;1;14254,92;14113,08;10/28/2021 12:00:00 AM
48;1;14235,83;14094,18;10/27/2021 12:00:00 AM
49;1;14253,92;14112,09;10/26/2021 12:00:00 AM
50;1;14232,81;14091,19;10/25/2021 12:00:00 AM
51;1;14203,67;14062,34;10/22/2021 12:00:00 AM
52;1;14150,4;14009,6;10/21/2021 12:00:00 AM
53;1;14166,48;14025,52;10/19/2021 12:00:00 AM
54;1;14154,42;14013,58;10/18/2021 12:00:00 AM
55;1;14225,78;14084,23;10/15/2021 12:00:00 AM
56;1;14292,11;14149,9;10/14/2021 12:00:00 AM
57;1;14288,09;14145,92;10/13/2021 12:00:00 AM
58;1;14281,05;14138,95;10/12/2021 12:00:00 AM
59;1;14296,13;14153,88;10/11/2021 12:00:00 AM
60;1;14309,19;14166,81;10/8/2021 12:00:00 AM
61;1;14316,23;14173,78;10/7/2021 12:00:00 AM
62;1;14331,3;14188,7;10/6/2021 12:00:00 AM
63;1;14347,38;14204,62;10/5/2021 12:00:00 AM
64;1;14386,58;14243,43;10/4/2021 12:00:00 AM
65;1;14392,61;14249,4;10/1/2021 12:00:00 AM
66;1;14378,54;14235,47;9/30/2021 12:00:00 AM
67;1;14340,35;14197,66;9/29/2021 12:00:00 AM
68;1;14329,29;14186,71;9/28/2021 12:00:00 AM
69;1;14321,25;14178,75;9/27/2021 12:00:00 AM
70;1;14327,28;14184,72;9/24/2021 12:00:00 AM
71;1;14320,25;14177,76;9/23/2021 12:00:00 AM
72;1;14315,22;14172,78;9/22/2021 12:00:00 AM
73;1;14322,26;14179,75;9/21/2021 12:00:00 AM
74;1;14304,17;14161,84;9/20/2021 12:00:00 AM
75;1;14309,19;14166,81;9/17/2021 12:00:00 AM
76;1;14323,26;14180,74;9/16/2021 12:00:00 AM
77;1;14328,29;14185,72;9/15/2021 12:00:00 AM
78;1;14331,3;14188,7;9/14/2021 12:00:00 AM
79;1;14296,13;14153,88;9/13/2021 12:00:00 AM
80;1;14343,36;14200,64;9/10/2021 12:00:00 AM
81;1;14337,33;14194,67;9/9/2021 12:00:00 AM
82;1;14265,98;14124,03;9/8/2021 12:00:00 AM
83;1;14310,2;14167,81;9/7/2021 12:00:00 AM
84;1;14332,31;14189,7;9/6/2021 12:00:00 AM
85;1;14352,41;14209,6;9/3/2021 12:00:00 AM
86;1;14355,42;14212,58;9/2/2021 12:00:00 AM
87;1;14377,53;14234,47;9/1/2021 12:00:00 AM
88;1;14445,87;14302,13;8/31/2021 12:00:00 AM
89;1;14503,16;14358,85;8/30/2021 12:00:00 AM
90;1;14495,12;14350,89;8/27/2021 12:00:00 AM
91;1;14480,04;14335,96;8/26/2021 12:00:00 AM
92;1;14462,96;14319,05;8/25/2021 12:00:00 AM
93;1;14487,08;14342,93;8/24/2021 12:00:00 AM
94;1;14536,32;14391,68;8/23/2021 12:00:00 AM
95;1;14486,07;14341,93;8/20/2021 12:00:00 AM
96;1;14455,92;14312,08;8/19/2021 12:00:00 AM
97;1;14454,92;14311,09;8/18/2021 12:00:00 AM
98;1;14459,94;14316,06;8/16/2021 12:00:00 AM
99;1;14460,95;14317,06;8/13/2021 12:00:00 AM
100;1;14468,99;14325,02;8/12/2021 12:00:00 AM
101;1;14449,89;14306,11;8/10/2021 12:00:00 AM
102;1;14440,85;14297,16;8/9/2021 12:00:00 AM
103;1;14413,71;14270,29;8/6/2021 12:00:00 AM
104;1;14395,62;14252,38;8/5/2021 12:00:00 AM
105;1;14433,81;14290,19;8/4/2021 12:00:00 AM
106;1;14528,28;14383,72;8/3/2021 12:00:00 AM
107;1;14534,31;14389,69;8/2/2021 12:00:00 AM
108;1;14563,46;14418,55;7/30/2021 12:00:00 AM
109;1;14570,49;14425,51;7/29/2021 12:00:00 AM
110;1;14561,45;14416,56;7/28/2021 12:00:00 AM
111;1;14566,47;14421,53;7/27/2021 12:00:00 AM
112;1;14573,51;14428,5;7/26/2021 12:00:00 AM
113;1;14580,54;14435,46;7/23/2021 12:00:00 AM
114;1;14626,77;14481,23;7/22/2021 12:00:00 AM
115;1;14596,62;14451,38;7/21/2021 12:00:00 AM
116;1;14589,59;14444,42;7/19/2021 12:00:00 AM
117;1;14575,52;14430,49;7/16/2021 12:00:00 AM
118;1;14565,47;14420,54;7/15/2021 12:00:00 AM
119;1;14558,43;14413,57;7/14/2021 12:00:00 AM
120;1;14558,43;14413,57;7/13/2021 12:00:00 AM
121;1;14620,74;14475,26;7/12/2021 12:00:00 AM
122;1;14620,74;14475,26;7/9/2021 12:00:00 AM
123;1;14572,5;14427,5;7/8/2021 12:00:00 AM
124;1;14540,34;14395,66;7/7/2021 12:00:00 AM
125;1;14554,41;14409,59;7/6/2021 12:00:00 AM
126;1;14636,82;14491,18;7/5/2021 12:00:00 AM
127;1;14611,7;14466,31;7/2/2021 12:00:00 AM
128;1;14614,71;14469,29;7/1/2021 12:00:00 AM
129;1;14568,48;14423,52;6/30/2021 12:00:00 AM
130;1;14544,36;14399,64;6/29/2021 12:00:00 AM
131;1;14519,24;14374,77;6/28/2021 12:00:00 AM
132;1;14534,31;14389,69;6/25/2021 12:00:00 AM
133;1;14526,27;14381,73;6/24/2021 12:00:00 AM
134;1;14493,11;14348,9;6/23/2021 12:00:00 AM
135;1;14525,27;14380,74;6/22/2021 12:00:00 AM
136;1;14475,02;14330,99;6/21/2021 12:00:00 AM
137;1;14449,89;14306,11;6/18/2021 12:00:00 AM
138;1;14328,29;14185,72;6/17/2021 12:00:00 AM
139;1;14315,22;14172,78;6/16/2021 12:00:00 AM
140;1;14293,11;14150,89;6/15/2021 12:00:00 AM
141;1;14277,03;14134,97;6/14/2021 12:00:00 AM
142;1;14311,2;14168,8;6/11/2021 12:00:00 AM
143;1;14333,31;14190,69;6/10/2021 12:00:00 AM
144;1;14333,31;14190,69;6/9/2021 12:00:00 AM
145;1;14342,36;14199,65;6/8/2021 12:00:00 AM
146;1;14387,58;14244,42;6/7/2021 12:00:00 AM
147;1;14368,49;14225,52;6/4/2021 12:00:00 AM
148;1;14347,38;14204,62;6/3/2021 12:00:00 AM
149;1;14363,46;14220,54;6/2/2021 12:00:00 AM
150;1;14381,55;14238,45;6/1/2021 12:00:00 AM
151;1;14381,55;14238,45;5/31/2021 12:00:00 AM
152;1;14383,56;14240,44;5/28/2021 12:00:00 AM
153;1;14406,68;14263,33;5/27/2021 12:00:00 AM
154;1;14433,81;14290,19;5/26/2021 12:00:00 AM
155;1;14433,81;14290,19;5/25/2021 12:00:00 AM
156;1;14446,88;14303,13;5/24/2021 12:00:00 AM
157;1;14467,98;14324,02;5/21/2021 12:00:00 AM
158;1;14384,57;14241,44;5/20/2021 12:00:00 AM
159;1;14371,5;14228,5;5/19/2021 12:00:00 AM
160;1;14355,42;14212,58;5/18/2021 12:00:00 AM
161;1;14274,02;14131,99;5/17/2021 12:00:00 AM
162;1;14268,99;14127,01;5/14/2021 12:00:00 AM
163;1;14268,99;14127,01;5/13/2021 12:00:00 AM
164;1;14268,99;14127,01;5/12/2021 12:00:00 AM
165;1;14268,99;14127,01;5/11/2021 12:00:00 AM
166;1;14360,45;14217,56;5/10/2021 12:00:00 AM
167;1;14435,82;14292,18;5/7/2021 12:00:00 AM
168;1;14511,2;14366,81;5/6/2021 12:00:00 AM
169;1;14503,16;14358,85;5/5/2021 12:00:00 AM
170;1;14539,34;14394,67;5/4/2021 12:00:00 AM
171;1;14525,27;14380,74;5/3/2021 12:00:00 AM
172;1;14540,34;14395,66;4/30/2021 12:00:00 AM
173;1;14582,55;14437,45;4/29/2021 12:00:00 AM
174;1;14569,49;14424,52;4/28/2021 12:00:00 AM
175;1;14561,45;14416,56;4/27/2021 12:00:00 AM
176;1;14620,74;14475,26;4/26/2021 12:00:00 AM
177;1;14602,65;14457,35;4/23/2021 12:00:00 AM
178;1;14621,75;14476,26;4/22/2021 12:00:00 AM
179;1;14580,54;14435,46;4/21/2021 12:00:00 AM
180;1;14640,84;14495,16;4/20/2021 12:00:00 AM
181;1;14664,96;14519,04;4/19/2021 12:00:00 AM
182;1;14719,23;14572,77;4/16/2021 12:00:00 AM
183;1;14706,17;14559,84;4/15/2021 12:00:00 AM
184;1;14721,24;14574,76;4/14/2021 12:00:00 AM
185;1;14704,16;14557,85;4/13/2021 12:00:00 AM
186;1;14652,9;14507,1;4/12/2021 12:00:00 AM
187;1;14652,9;14507,1;4/9/2021 12:00:00 AM
188;1;14585,57;14440,44;4/8/2021 12:00:00 AM
189;1;14591,6;14446,41;4/7/2021 12:00:00 AM
190;1;14605,67;14460,34;4/6/2021 12:00:00 AM
191;1;14656,92;14511,08;4/5/2021 12:00:00 AM
192;1;14649,89;14504,12;4/2/2021 12:00:00 AM
193;1;14649,89;14504,12;4/1/2021 12:00:00 AM
194;1;14644,86;14499,14;3/31/2021 12:00:00 AM
195;1;14553,41;14408,6;3/30/2021 12:00:00 AM
196;1;14506,17;14361,83;3/29/2021 12:00:00 AM
197;1;14518,23;14373,77;3/26/2021 12:00:00 AM
198;1;14536,32;14391,68;3/25/2021 12:00:00 AM
199;1;14527,28;14382,73;3/24/2021 12:00:00 AM
200;1;14493,11;14348,9;3/23/2021 12:00:00 AM
201;1;14528,28;14383,72;3/22/2021 12:00:00 AM
202;1;14548,38;14403,62;3/19/2021 12:00:00 AM
203;1;14484,06;14339,94;3/18/2021 12:00:00 AM
204;1;14531,3;14386,71;3/17/2021 12:00:00 AM
205;1;14496,12;14351,88;3/16/2021 12:00:00 AM
206;1;14490,09;14345,91;3/15/2021 12:00:00 AM
207;1;14442,86;14299,15;3/12/2021 12:00:00 AM
208;1;14493,11;14348,9;3/11/2021 12:00:00 AM
209;1;14493,11;14348,9;3/10/2021 12:00:00 AM
210;1;14540,34;14395,66;3/9/2021 12:00:00 AM
211;1;14461,95;14318,05;3/8/2021 12:00:00 AM
212;1;14442,86;14299,15;3/5/2021 12:00:00 AM
213;1;14370,5;14227,51;3/4/2021 12:00:00 AM
214;1;14405,67;14262,33;3/3/2021 12:00:00 AM
215;1;14378,54;14235,47;3/2/2021 12:00:00 AM
216;1;14371,5;14228,5;3/1/2021 12:00:00 AM
217;1;14300,15;14157,86;2/26/2021 12:00:00 AM
218;1;14174,52;14033,48;2/25/2021 12:00:00 AM
219;1;14159,45;14018,56;2/24/2021 12:00:00 AM
220;1;14196,63;14055,37;2/23/2021 12:00:00 AM
221;1;14168,49;14027,51;2/22/2021 12:00:00 AM
222;1;14155,43;14014,58;2/19/2021 12:00:00 AM
223;1;14129,3;13988,71;2/18/2021 12:00:00 AM
224;1;14089,1;13948,91;2/17/2021 12:00:00 AM
225;1;13944,38;13805,63;2/16/2021 12:00:00 AM
226;1;14015,73;13876,27;2/15/2021 12:00:00 AM
227;1;14081,06;13940,95;2/12/2021 12:00:00 AM
228;1;14081,06;13940,95;2/11/2021 12:00:00 AM
229;1;14058,95;13919,06;2/10/2021 12:00:00 AM
230;1;14070;13930;2/9/2021 12:00:00 AM
231;1;14070;13930;2/8/2021 12:00:00 AM
232;1;14132,31;13991,69;2/5/2021 12:00:00 AM
233;1;14106,18;13965,82;2/4/2021 12:00:00 AM
234;1;14087,09;13946,92;2/3/2021 12:00:00 AM
235;1;14114,22;13973,78;2/2/2021 12:00:00 AM
236;1;14112,21;13971,79;2/1/2021 12:00:00 AM
237;1;14154,42;14013,58;1/29/2021 12:00:00 AM
238;1;14189,6;14048,41;1/28/2021 12:00:00 AM
239;1;14161,46;14020,55;1/27/2021 12:00:00 AM
240;1;14156,43;14015,57;1/26/2021 12:00:00 AM
241;1;14152,41;14011,59;1/25/2021 12:00:00 AM
242;1;14124,27;13983,73;1/22/2021 12:00:00 AM
243;1;14109,2;13968,81;1/21/2021 12:00:00 AM
244;1;14135,33;13994,68;1/20/2021 12:00:00 AM
245;1;14156,43;14015,57;1/19/2021 12:00:00 AM
246;1;14150,4;14009,6;1/18/2021 12:00:00 AM
247;1;14138,34;13997,66;1/15/2021 12:00:00 AM
248;1;14189,6;14048,41;1/14/2021 12:00:00 AM
