nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;5318;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;-;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;14299;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;1230;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;-;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;2525;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;-;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;9595;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;71875;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2000;Tahun;4044;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;5309;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;-;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;15080;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;1333;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;-;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;2736;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;-;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;10400;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;80000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2001;Tahun;4169;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;5065;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;-;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;14334;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;1146;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;-;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;2353;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;-;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;8940;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;85000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2002;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;6347;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;10515;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;15076;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;1090;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;-;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;2228;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;-;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;8465;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;100000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2003;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;7242;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;12652;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;17888;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;1195;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;9042;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;2445;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;5686;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;9290;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;100000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2004;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;7207;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;11660;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;16942;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;1268;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;8342;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;2601;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;5907;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;9830;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;140000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2005;Tahun;-;"Gulden Belanda"
